cruise_ID	cruise_expedition	cruise_name	 HOT_summary_file_name	 Ship	Archive 	Archive_ID	 nav_code
C_1	HOT	HOT156	 cruise.summaries/hot156.sum	 33KI156/1	WOCE	 PRS2	 GPS
C_2	HOT	HOT158	 cruise.summaries/hot158.sum	 33KI158/1	WOCE	 PRS2	 GPS
C_3	HOT	HOT159	 cruise.summaries/hot159.sum	 33KI159/1	WOCE	 PRS2	 GPS
C_4	HOT	HOT160	 cruise.summaries/hot160.sum	 33KI160/1	WOCE	 PRS2	 GPS
C_5	HOT	HOT162	 cruise.summaries/hot162.sum	 33KI162/1	WOCE	 PRS2	 GPS
C_6	HOT	HOT163	 cruise.summaries/hot163.sum	 33KI163/1	WOCE	 PRS2	 GPS
C_7	HOT	HOT164	 cruise.summaries/hot164.sum	 33KI164/1	WOCE	 PRS2	 GPS
C_8	HOT	HOT165	 cruise.summaries/hot165.sum	 33KI165/1	WOCE	 PRS2	 GPS
C_9	HOT	HOT166	 cruise.summaries/hot166.sum	 33KI166/1	WOCE	 PRS2	 GPS
C_10	HOT	HOT144	 cruise.summaries/hot144.sum	 33KI144/1	WOCE	 PRS2	 GPS
C_11	HOT	HOT145	 cruise.summaries/hot145.sum	 33KI145/1	WOCE	 PRS2	 GPS
C_12	HOT	HOT146	 cruise.summaries/hot146.sum	 33KB146/1	WOCE	 PRS2	 GPS
C_13	HOT	HOT147	 cruise.summaries/hot147.sum	 33KI147/1	WOCE	 PRS2	 GPS
C_14	HOT	HOT148	 cruise.summaries/hot148.sum	 33KI148/1	WOCE	 PRS2	 GPS
C_15	HOT	HOT149	 cruise.summaries/hot149.sum	 33RR149/1	WOCE	 PRS2	 GPS
C_16	HOT	HOT150	 cruise.summaries/hot150.sum	 33KI150/1	WOCE	 PRS2	 GPS
C_17	HOT	HOT151	 cruise.summaries/hot151.sum	 33KI151/1	WOCE	 PRS2	 GPS
C_18	HOT	HOT153	 cruise.summaries/hot153.sum	 33KB153/1	WOCE	 PRS2	 GPS
C_19	HOT	HOT154	 cruise.summaries/hot154.sum	 33KB154/1	WOCE	 PRS2	 GPS
C_20	HOT	HOT152	 cruise.summaries/hot152.sum	 33KB152/1	WOCE	 PRS2	 GPS
C_21	HOT	HOT155	 cruise.summaries/hot155.sum	 33KI155/1	WOCE	 PRS2	 GPS
C_22	HOT	HOT157	 cruise.summaries/hot157.sum	 33KB157/1	WOCE	 PRS2	 GPS
C_23	HOT	HOT214	 cruise.summaries/hot214.sum	 33KB214/1	WOCE	 PRS2	 GPS
C_24	HOT	HOT216	 cruise.summaries/hot216.sum	 33KI216/1	WOCE	 PRS2	 GPS
